ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
217611_at	2.72e-01	6.75e-02	1.8503372	-4.92075	0.32152493	ERICH1	glutamate rich 1
33132_at	2.72e-01	6.75e-02	-1.8501906	-4.92101	-0.24769811	MIR6849///MIR1234///MIR939///CPSF1	microRNA 6849///microRNA 1234///microRNA 939///cleavage and polyadenylation specific factor 1
216647_at	2.72e-01	6.75e-02	1.850169	-4.92105	0.24155176	TCF3	transcription factor 3
219946_x_at	2.72e-01	6.75e-02	1.8500133	-4.92132	0.29944469	MYH14	myosin, heavy chain 14, non-muscle
209668_x_at	2.72e-01	6.75e-02	1.8499848	-4.92137	0.2261387	CES2	carboxylesterase 2
202292_x_at	2.72e-01	6.75e-02	1.8498726	-4.92157	0.22717907	LYPLA2	lysophospholipase II
217166_at	2.72e-01	6.76e-02	1.8495358	-4.92217	0.32930053		
216519_s_at	2.72e-01	6.76e-02	1.8493063	-4.92257	0.30944921	PROSC	proline synthetase cotranscribed homolog (bacterial)
37278_at	2.72e-01	6.76e-02	1.8490414	-4.92304	0.18977716	TAZ	tafazzin
214768_x_at	2.72e-01	6.77e-02	-1.8487511	-4.92355	-0.35563966	IGKC	immunoglobulin kappa constant
219729_at	2.72e-01	6.77e-02	1.8487206	-4.92361	0.32490895	PRRX2	paired related homeobox 2
210088_x_at	2.72e-01	6.77e-02	1.8486343	-4.92376	0.20392914	MYL4	myosin light chain 4
219568_x_at	2.72e-01	6.77e-02	1.8486277	-4.92377	0.65962306	SOX18	SRY-box 18
221752_at	2.72e-01	6.77e-02	1.8485753	-4.92386	0.21635066	SSH1	slingshot protein phosphatase 1
203366_at	2.72e-01	6.77e-02	1.8483942	-4.92418	0.26747556	POLG	DNA polymerase gamma, catalytic subunit
219139_s_at	2.72e-01	6.78e-02	1.8481464	-4.92462	0.26117783	CROCCP3	ciliary rootlet coiled-coil, rootletin pseudogene 3
211558_s_at	2.72e-01	6.78e-02	1.8479169	-4.92503	0.26195343	DHPS	deoxyhypusine synthase
221587_s_at	2.73e-01	6.78e-02	1.8477127	-4.92539	0.17673726	C19orf24	chromosome 19 open reading frame 24
208484_at	2.73e-01	6.79e-02	1.8475441	-4.92569	0.23586812	HIST1H1A	histone cluster 1, H1a
207697_x_at	2.73e-01	6.79e-02	1.8474475	-4.92586	0.28743956	LILRB2	leukocyte immunoglobulin like receptor B2
213326_at	2.73e-01	6.79e-02	-1.8473034	-4.92611	-0.45137601	VAMP1	vesicle associated membrane protein 1
221496_s_at	2.73e-01	6.79e-02	1.8469596	-4.92672	0.22894153	TOB2	transducer of ERBB2, 2
210020_x_at	2.73e-01	6.80e-02	1.8469256	-4.92678	0.27551914	CALML3	calmodulin like 3
220427_at	2.73e-01	6.80e-02	1.8466781	-4.92722	0.17488995	OBSCN	obscurin, cytoskeletal calmodulin and titin-interacting RhoGEF
216672_s_at	2.73e-01	6.80e-02	1.8465806	-4.92739	0.20631884	MYT1L	myelin transcription factor 1 like
200599_s_at	2.73e-01	6.80e-02	-1.8464207	-4.92767	-0.29128687	MIR3652///HSP90B1	microRNA 3652///heat shock protein 90 beta family member 1
214275_at	2.73e-01	6.81e-02	1.8460932	-4.92825	0.4076241	MED12	mediator complex subunit 12
215503_at	2.73e-01	6.81e-02	1.8460014	-4.92841	0.20722702	SPINT3	serine peptidase inhibitor, Kunitz type 3
200043_at	2.73e-01	6.81e-02	-1.8459489	-4.9285	-0.44109488	ERH	enhancer of rudimentary homolog (Drosophila)
210619_s_at	2.73e-01	6.81e-02	1.8456782	-4.92898	0.22137604	HYAL1	hyaluronoglucosaminidase 1
220030_at	2.73e-01	6.81e-02	-1.8455951	-4.92913	-0.51943231	STYK1	serine/threonine/tyrosine kinase 1
205731_s_at	2.74e-01	6.83e-02	1.8448346	-4.93047	0.21936165	NCOA2	nuclear receptor coactivator 2
43544_at	2.74e-01	6.83e-02	-1.8447749	-4.93057	-0.42492348	MED16	mediator complex subunit 16
211118_x_at	2.74e-01	6.83e-02	1.8444786	-4.9311	0.22098249	ESR2	estrogen receptor 2
211593_s_at	2.74e-01	6.83e-02	1.844366	-4.9313	0.22787957	MAST2	microtubule associated serine/threonine kinase 2
216890_at	2.74e-01	6.84e-02	1.8441145	-4.93174	0.22258411		
220493_at	2.74e-01	6.84e-02	-1.8440467	-4.93186	-0.24780958	DMRT1	doublesex and mab-3 related transcription factor 1
214076_at	2.74e-01	6.84e-02	1.8439898	-4.93196	0.22105681	GFOD2	glucose-fructose oxidoreductase domain containing 2
207438_s_at	2.74e-01	6.84e-02	1.8437656	-4.93235	0.36263644	SNUPN	snurportin 1
202096_s_at	2.74e-01	6.84e-02	1.843743	-4.93239	0.46476384	TSPO	translocator protein
212435_at	2.74e-01	6.85e-02	-1.8433045	-4.93317	-0.24689778	TRIM33	tripartite motif containing 33
210200_at	2.74e-01	6.85e-02	1.8432868	-4.9332	0.29851421	WWP2	WW domain containing E3 ubiquitin protein ligase 2
210783_x_at	2.74e-01	6.85e-02	1.842998	-4.93371	0.4146705	CLEC11A	C-type lectin domain family 11 member A
202547_s_at	2.74e-01	6.86e-02	1.8428136	-4.93403	0.40083546	ARHGEF7	Rho guanine nucleotide exchange factor 7
213975_s_at	2.74e-01	6.86e-02	-1.8427319	-4.93418	-0.42399948	LYZ	lysozyme
213061_s_at	2.74e-01	6.86e-02	1.8422252	-4.93507	0.37694922	NTAN1	N-terminal asparagine amidase
217836_s_at	2.74e-01	6.87e-02	-1.8421187	-4.93526	-0.29649857	YY1AP1	YY1 associated protein 1
214114_x_at	2.74e-01	6.87e-02	1.842011	-4.93545	0.36865111	FASTK	Fas activated serine/threonine kinase
201900_s_at	2.74e-01	6.87e-02	-1.8419285	-4.93559	-0.32125947	AKR1A1	aldo-keto reductase family 1 member A1
219808_at	2.75e-01	6.88e-02	1.8412832	-4.93673	0.23332576	SCLY	selenocysteine lyase
213135_at	2.75e-01	6.88e-02	-1.8411006	-4.93705	-0.25355799	TIAM1	T-cell lymphoma invasion and metastasis 1
218628_at	2.75e-01	6.89e-02	1.8407963	-4.93759	0.199896	CCDC53	coiled-coil domain containing 53
220249_at	2.75e-01	6.89e-02	1.8407632	-4.93764	0.41004825	HYAL4	hyaluronoglucosaminidase 4
201293_x_at	2.75e-01	6.89e-02	-1.8406405	-4.93786	-0.27401265	LOC101060363///PPIA	peptidyl-prolyl cis-trans isomerase A pseudogene///peptidylprolyl isomerase A
91816_f_at	2.75e-01	6.89e-02	1.8405814	-4.93796	0.15877034	MEX3D	mex-3 RNA binding family member D
209383_at	2.75e-01	6.89e-02	1.8403314	-4.9384	0.20708845	DDIT3	DNA damage inducible transcript 3
208896_at	2.75e-01	6.89e-02	-1.8401652	-4.9387	-0.30524921	DDX18	DEAD-box helicase 18
215700_x_at	2.75e-01	6.90e-02	1.8399101	-4.93915	0.19789854	CPNE6	copine 6
213977_s_at	2.75e-01	6.90e-02	1.8397975	-4.93934	0.24717498	CIZ1	CDKN1A interacting zinc finger protein 1
214864_s_at	2.75e-01	6.90e-02	1.8395473	-4.93978	0.55666366	GRHPR	glyoxylate and hydroxypyruvate reductase
215843_s_at	2.75e-01	6.91e-02	1.8393155	-4.94019	0.32487063	TLL2	tolloid like 2
211404_s_at	2.76e-01	6.91e-02	-1.8389617	-4.94081	-0.45102114	APLP2	amyloid beta precursor like protein 2
219271_at	2.76e-01	6.92e-02	1.8384465	-4.94172	0.33949257	GALNT14	polypeptide N-acetylgalactosaminyltransferase 14
212549_at	2.76e-01	6.92e-02	1.838244	-4.94208	0.25617095	STAT5B	signal transducer and activator of transcription 5B
208771_s_at	2.76e-01	6.93e-02	-1.8379854	-4.94253	-0.35253265	LOC101928830///LTA4H	uncharacterized LOC101928830///leukotriene A4 hydrolase
218040_at	2.76e-01	6.93e-02	-1.8379852	-4.94253	-0.40010129	PRPF38B	pre-mRNA processing factor 38B
211398_at	2.76e-01	6.93e-02	1.8377808	-4.94289	0.19792999	FGFR2	fibroblast growth factor receptor 2
201357_s_at	2.76e-01	6.93e-02	1.8375737	-4.94325	0.23376323	SF3A1	splicing factor 3a subunit 1
203908_at	2.77e-01	6.95e-02	1.8367488	-4.9447	0.2855167	SLC4A4	solute carrier family 4 member 4
222284_at	2.77e-01	6.95e-02	1.8366549	-4.94487	0.31929575		
209690_s_at	2.77e-01	6.95e-02	1.8365176	-4.94511	0.51184407	DOK4	docking protein 4
214416_at	2.77e-01	6.96e-02	1.8359888	-4.94604	0.24968973		
201369_s_at	2.77e-01	6.96e-02	1.835715	-4.94652	0.2335372	ZFP36L2	ZFP36 ring finger protein like 2
220641_at	2.77e-01	6.96e-02	1.8355673	-4.94678	0.22084698	NOX5	NADPH oxidase, EF-hand calcium binding domain 5
221431_s_at	2.77e-01	6.96e-02	1.8355192	-4.94686	0.2937356	OR12D3	olfactory receptor family 12 subfamily D member 3
204904_at	2.77e-01	6.97e-02	1.8354308	-4.94702	0.22222771	GJA4	gap junction protein alpha 4
208168_s_at	2.77e-01	6.97e-02	1.8352649	-4.94731	0.45571353	CHIT1	chitinase 1
217096_at	2.77e-01	6.97e-02	1.8348079	-4.94811	0.25756109	PCLO	piccolo presynaptic cytomatrix protein
216479_at	2.77e-01	6.98e-02	-1.834274	-4.94905	-0.29864155	RPL21P28///SNORA27///SNORD102///RPL21	ribosomal protein L21 pseudogene 28///small nucleolar RNA, H/ACA box 27///small nucleolar RNA, C/D box 102///ribosomal protein L21
207805_s_at	2.77e-01	6.98e-02	-1.8342724	-4.94905	-0.32038417	PSMD9	proteasome 26S subunit, non-ATPase 9
211141_s_at	2.78e-01	6.99e-02	1.8339257	-4.94966	0.34150226	CNOT3	CCR4-NOT transcription complex subunit 3
219648_at	2.78e-01	6.99e-02	-1.8334426	-4.95051	-0.24436935	MREG	melanoregulin
204374_s_at	2.78e-01	7.00e-02	1.8332953	-4.95077	0.29953267	GALK1	galactokinase 1
207814_at	2.78e-01	7.00e-02	1.8331146	-4.95108	0.19477025	DEFA6	defensin alpha 6
219966_x_at	2.78e-01	7.00e-02	-1.8329576	-4.95136	-0.30298002	BANP	BTG3 associated nuclear protein
208452_x_at	2.78e-01	7.00e-02	1.8329252	-4.95141	0.36644257	MYO9B	myosin IXB
216680_s_at	2.78e-01	7.01e-02	1.8324766	-4.9522	0.26254046	EPHB4	EPH receptor B4
201586_s_at	2.78e-01	7.01e-02	-1.8321275	-4.95281	-0.32697219	SFPQ	splicing factor proline and glutamine rich
206390_x_at	2.78e-01	7.02e-02	1.8320268	-4.95299	0.25856437	PF4	platelet factor 4
219136_s_at	2.78e-01	7.02e-02	1.8319483	-4.95313	0.33538551	LMF1	lipase maturation factor 1
216218_s_at	2.78e-01	7.02e-02	1.831929	-4.95316	0.33853392	PLCL2	phospholipase C like 2
212103_at	2.78e-01	7.02e-02	1.8318223	-4.95335	0.21408142	KPNA6	karyopherin subunit alpha 6
211799_x_at	2.78e-01	7.02e-02	-1.8314827	-4.95394	-0.48006293	HLA-C	major histocompatibility complex, class I, C
202340_x_at	2.79e-01	7.03e-02	1.8313041	-4.95426	0.36099383	NR4A1	nuclear receptor subfamily 4 group A member 1
220787_at	2.79e-01	7.03e-02	1.8308892	-4.95498	0.37732059		
211030_s_at	2.79e-01	7.03e-02	1.8307995	-4.95514	0.21909312	SLC6A6	solute carrier family 6 member 6
220514_at	2.79e-01	7.04e-02	1.8302423	-4.95612	0.22124027		
222364_at	2.79e-01	7.05e-02	-1.8296597	-4.95714	-0.42783427	SLC44A1	solute carrier family 44 member 1
211873_s_at	2.79e-01	7.05e-02	1.8295532	-4.95732	0.26538019	PCDHGA9	protocadherin gamma subfamily A, 9
220786_s_at	2.79e-01	7.05e-02	1.8295273	-4.95737	0.27273989	SLC38A4	solute carrier family 38 member 4
207473_at	2.79e-01	7.06e-02	1.8289916	-4.95831	0.28075944	MLN	motilin
221175_at	2.79e-01	7.06e-02	1.8289787	-4.95833	0.26509983	C3orf36	chromosome 3 open reading frame 36
213453_x_at	2.79e-01	7.06e-02	-1.8289207	-4.95843	-0.41804227	GAPDH	glyceraldehyde-3-phosphate dehydrogenase
203279_at	2.79e-01	7.06e-02	1.8288444	-4.95856	0.3283252	EDEM1	ER degradation enhancing alpha-mannosidase like protein 1
215941_at	2.80e-01	7.07e-02	1.8286596	-4.95889	0.2079759		
209023_s_at	2.80e-01	7.07e-02	-1.828586	-4.95901	-0.39807712	STAG2	stromal antigen 2
218381_s_at	2.80e-01	7.07e-02	-1.8285793	-4.95903	-0.24669818	U2AF2	U2 small nuclear RNA auxiliary factor 2
217160_at	2.80e-01	7.07e-02	-1.8281946	-4.9597	-0.32679277	TSPY1	testis specific protein, Y-linked 1
211378_x_at	2.80e-01	7.07e-02	-1.828176	-4.95973	-0.27009913	LOC101060363///PPIA	peptidyl-prolyl cis-trans isomerase A pseudogene///peptidylprolyl isomerase A
215065_at	2.80e-01	7.09e-02	1.8273529	-4.96117	0.24693086	PHF8	PHD finger protein 8
202696_at	2.80e-01	7.09e-02	1.8272751	-4.96131	0.30775866	OXSR1	oxidative stress responsive 1
221678_at	2.80e-01	7.09e-02	1.8270991	-4.96162	0.25483105	ABHD6	abhydrolase domain containing 6
207017_at	2.80e-01	7.09e-02	1.8270975	-4.96162	0.38553617	RAB27B	RAB27B, member RAS oncogene family
214822_at	2.80e-01	7.09e-02	1.8268798	-4.962	0.24434838	BRINP2	BMP/retinoic acid inducible neural specific 2
205337_at	2.80e-01	7.10e-02	1.8265773	-4.96253	0.34418004	DCT	dopachrome tautomerase
203882_at	2.80e-01	7.10e-02	-1.8262996	-4.96301	-0.41263312	IRF9	interferon regulatory factor 9
208817_at	2.80e-01	7.10e-02	1.8262555	-4.96309	0.37739588	COMT	catechol-O-methyltransferase
204213_at	2.80e-01	7.10e-02	1.8261488	-4.96328	0.24613505	PIGR	polymeric immunoglobulin receptor
214967_at	2.80e-01	7.11e-02	1.8260847	-4.96339	0.33454529		
218523_at	2.80e-01	7.11e-02	1.825975	-4.96358	0.19896815	LHPP	phospholysine phosphohistidine inorganic pyrophosphate phosphatase
213881_x_at	2.80e-01	7.11e-02	-1.8258625	-4.96378	-0.20949903	LOC101929087///SUMO2///SUMO3	small ubiquitin-related modifier 2 pseudogene///small ubiquitin-like modifier 2///small ubiquitin-like modifier 3
216507_at	2.81e-01	7.11e-02	1.8255273	-4.96436	0.20102533	TAPT1	transmembrane anterior posterior transformation 1
221334_s_at	2.81e-01	7.12e-02	1.8252962	-4.96477	0.27214819	FOXP3	forkhead box P3
216743_at	2.81e-01	7.12e-02	1.8251498	-4.96502	0.1937362		
200915_x_at	2.81e-01	7.12e-02	-1.8249671	-4.96534	-0.27416709	KTN1	kinectin 1
206195_x_at	2.81e-01	7.12e-02	1.8249466	-4.96538	0.23879691	GH2	growth hormone 2
216989_at	2.81e-01	7.13e-02	1.8247932	-4.96564	0.22583866	SPAM1	sperm adhesion molecule 1
203441_s_at	2.81e-01	7.13e-02	1.8245375	-4.96609	0.21082562	CDH2	cadherin 2
222296_at	2.81e-01	7.13e-02	1.8243311	-4.96645	0.2286272		
201371_s_at	2.81e-01	7.14e-02	-1.8240485	-4.96694	-0.27336786	CUL3	cullin 3
221296_at	2.81e-01	7.14e-02	1.8240312	-4.96697	0.25826503	TECTA	tectorin alpha
208156_x_at	2.81e-01	7.14e-02	1.8239448	-4.96713	0.25011945	EPPK1	epiplakin 1
202591_s_at	2.81e-01	7.14e-02	-1.8239189	-4.96717	-0.41635585	SSBP1	single stranded DNA binding protein 1
222235_s_at	2.81e-01	7.14e-02	-1.8237544	-4.96746	-0.39881846	CSGALNACT2	chondroitin sulfate N-acetylgalactosaminyltransferase 2
220549_at	2.81e-01	7.14e-02	1.8237043	-4.96755	0.31673975	FSBP///RAD54B	fibrinogen silencer binding protein///RAD54 homolog B (S. cerevisiae)
209954_x_at	2.81e-01	7.14e-02	1.8236854	-4.96758	0.34473674	SS18	SS18, nBAF chromatin remodeling complex subunit
206170_at	2.81e-01	7.14e-02	1.8235557	-4.9678	0.18152867	ADRB2	adrenoceptor beta 2
219663_s_at	2.81e-01	7.14e-02	1.8235359	-4.96784	0.28468202	TMEM121	transmembrane protein 121
203688_at	2.81e-01	7.15e-02	1.8233138	-4.96823	0.49342994	PKD2	polycystin 2, transient receptor potential cation channel
217291_at	2.81e-01	7.15e-02	1.8233094	-4.96823	0.37352293	CEACAM5	carcinoembryonic antigen related cell adhesion molecule 5
216939_s_at	2.81e-01	7.16e-02	1.822772	-4.96917	0.27781931	HTR4	5-hydroxytryptamine receptor 4
217984_at	2.81e-01	7.16e-02	-1.8226536	-4.96938	-0.30062111	RNASET2	ribonuclease T2
202052_s_at	2.81e-01	7.16e-02	-1.8223913	-4.96984	-0.34827149	RAI14	retinoic acid induced 14
218105_s_at	2.81e-01	7.16e-02	1.8223444	-4.96992	0.2490806	MRPL4	mitochondrial ribosomal protein L4
208753_s_at	2.81e-01	7.16e-02	-1.8222172	-4.97014	-0.41171068	NAP1L1	nucleosome assembly protein 1 like 1
220210_at	2.81e-01	7.17e-02	1.8220633	-4.97041	0.22341193	CHRNA10	cholinergic receptor nicotinic alpha 10 subunit
217455_s_at	2.82e-01	7.18e-02	1.8214219	-4.97153	0.33140595	SSTR2	somatostatin receptor 2
208625_s_at	2.82e-01	7.18e-02	-1.8212516	-4.97182	-0.32740148	EIF4G1	eukaryotic translation initiation factor 4 gamma 1
216096_s_at	2.82e-01	7.19e-02	1.820703	-4.97278	0.3041512	NRXN1	neurexin 1
205397_x_at	2.82e-01	7.19e-02	1.8205408	-4.97306	0.20784848	SMAD3	SMAD family member 3
214686_at	2.82e-01	7.19e-02	-1.8203896	-4.97333	-0.28565658	ZNF266	zinc finger protein 266
215020_at	2.82e-01	7.19e-02	1.8203488	-4.9734	0.19748138	NRXN3	neurexin 3
214693_x_at	2.82e-01	7.20e-02	1.8200734	-4.97388	0.21808887	NBPF26///NBPF10///NBPF9///NBPF14	neuroblastoma breakpoint family member 26///neuroblastoma breakpoint family member 10///neuroblastoma breakpoint family member 9///neuroblastoma breakpoint family member 14
219743_at	2.82e-01	7.20e-02	1.8200307	-4.97395	0.28178169	HEY2	hes related family bHLH transcription factor with YRPW motif 2
207597_at	2.82e-01	7.20e-02	1.8200299	-4.97395	0.21212071	ADAM18	ADAM metallopeptidase domain 18
210057_at	2.82e-01	7.20e-02	-1.8197742	-4.9744	-0.35105405	LOC101060386///BOLA2///SMG1	putative uncharacterized SMG1-like protein///bolA family member 2///SMG1, nonsense mediated mRNA decay associated PI3K related kinase
221623_at	2.82e-01	7.20e-02	-1.8197662	-4.97441	-0.41397396	BCAN	brevican
200652_at	2.82e-01	7.21e-02	-1.8195407	-4.9748	-0.29189411	SSR2	signal sequence receptor subunit 2
217614_at	2.83e-01	7.21e-02	1.8192328	-4.97534	0.38071925	ARHGAP45	Rho GTPase activating protein 45
204986_s_at	2.83e-01	7.22e-02	1.8189335	-4.97586	0.3017513	TAOK2	TAO kinase 2
202961_s_at	2.83e-01	7.22e-02	-1.8187299	-4.97622	-0.59397075	ARMC2-AS1///ATP5J2	ARMC2 antisense RNA 1///ATP synthase, H+ transporting, mitochondrial Fo complex subunit F2
222108_at	2.83e-01	7.22e-02	-1.8185232	-4.97658	-0.26851588	AMIGO2	adhesion molecule with Ig like domain 2
208953_at	2.83e-01	7.22e-02	1.8184373	-4.97673	0.2792495	LARP4B	La ribonucleoprotein domain family member 4B
217334_at	2.83e-01	7.22e-02	1.8184337	-4.97673	0.27108988	OR2J3	olfactory receptor family 2 subfamily J member 3
213033_s_at	2.83e-01	7.22e-02	1.8184225	-4.97675	0.29668501	NFIB	nuclear factor I B
200629_at	2.83e-01	7.22e-02	1.8183548	-4.97687	0.24598789	WARS	tryptophanyl-tRNA synthetase
219450_at	2.83e-01	7.23e-02	1.8179641	-4.97755	0.18249592	C4orf19	chromosome 4 open reading frame 19
212596_s_at	2.83e-01	7.23e-02	1.8177212	-4.97797	0.24211708	HMGXB4	HMG-box containing 4
215831_at	2.83e-01	7.24e-02	1.8173387	-4.97864	0.22201487		
218792_s_at	2.83e-01	7.24e-02	-1.8172752	-4.97875	-0.2916936	BSPRY	B-box and SPRY domain containing
210158_at	2.83e-01	7.25e-02	1.8169354	-4.97934	0.29299841	ERCC4	ERCC excision repair 4, endonuclease catalytic subunit
220362_at	2.83e-01	7.25e-02	1.8166074	-4.97991	0.21754469	PSORS1C1	psoriasis susceptibility 1 candidate 1
210174_at	2.84e-01	7.26e-02	1.8162651	-4.9805	0.23329761	NR5A2	nuclear receptor subfamily 5 group A member 2
208675_s_at	2.84e-01	7.26e-02	-1.816133	-4.98073	-0.21468418	DDOST	dolichyl-diphosphooligosaccharide--protein glycosyltransferase non-catalytic subunit
56821_at	2.84e-01	7.26e-02	1.81587	-4.98119	0.26298299	SLC38A7	solute carrier family 38 member 7
201512_s_at	2.84e-01	7.27e-02	-1.8156647	-4.98155	-0.32670842	TOMM70	translocase of outer mitochondrial membrane 70
207931_s_at	2.84e-01	7.27e-02	-1.815621	-4.98162	-0.28753369	PFKFB2	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2
201657_at	2.84e-01	7.27e-02	-1.8155948	-4.98167	-0.49991013	ARL1	ADP ribosylation factor like GTPase 1
205558_at	2.84e-01	7.27e-02	-1.8153939	-4.98202	-0.25518762	TRAF6	TNF receptor associated factor 6
212047_s_at	2.84e-01	7.27e-02	1.8153805	-4.98204	0.25526234	RNF167	ring finger protein 167
219697_at	2.84e-01	7.27e-02	1.8153081	-4.98217	0.19680425	HS3ST2	heparan sulfate-glucosamine 3-sulfotransferase 2
212016_s_at	2.84e-01	7.27e-02	1.81509	-4.98255	0.23316623	MIR4745///PTBP1	microRNA 4745///polypyrimidine tract binding protein 1
221047_s_at	2.84e-01	7.28e-02	1.8148887	-4.9829	0.31597763	MARK1	microtubule affinity regulating kinase 1
215816_at	2.84e-01	7.28e-02	1.8147013	-4.98322	0.26162168	GUSBP11	glucuronidase, beta pseudogene 11
208881_x_at	2.84e-01	7.28e-02	-1.8145991	-4.9834	-0.24883894	IDI1	isopentenyl-diphosphate delta isomerase 1
216337_at	2.84e-01	7.29e-02	1.8142655	-4.98398	0.23461855		
207105_s_at	2.84e-01	7.29e-02	1.814201	-4.98409	0.21117604	PIK3R2	phosphoinositide-3-kinase regulatory subunit 2
AFFX-M27830_5_at	2.84e-01	7.29e-02	1.8141616	-4.98416	0.31069753		
213212_x_at	2.84e-01	7.29e-02	-1.8140996	-4.98427	-0.43363935	LOC102724093///GOLGA6L4///GOLGA6L9///GOLGA6L5P	golgin subfamily A member 6-like protein 4///golgin A6 family-like 4///golgin A6 family-like 9///golgin A6 family-like 5, pseudogene
208334_at	2.84e-01	7.30e-02	1.8136597	-4.98503	0.19159905	NDST4	N-deacetylase and N-sulfotransferase 4
212975_at	2.84e-01	7.30e-02	1.8135429	-4.98523	0.24823964	DENND3	DENN domain containing 3
204207_s_at	2.84e-01	7.30e-02	1.8135131	-4.98529	0.19006281	RNGTT	RNA guanylyltransferase and 5'-phosphatase
213858_at	2.85e-01	7.31e-02	1.8126887	-4.98672	0.20870384	ZNF250	zinc finger protein 250
211862_x_at	2.85e-01	7.32e-02	1.8118921	-4.9881	0.25757785	CFLAR	CASP8 and FADD like apoptosis regulator
213699_s_at	2.85e-01	7.33e-02	-1.811796	-4.98826	-0.27306433	YWHAQ	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein theta
207155_at	2.85e-01	7.33e-02	1.8115294	-4.98873	0.47058741	TBX5	T-box 5
206157_at	2.85e-01	7.33e-02	1.8113632	-4.98902	0.34328335	PTX3	pentraxin 3
203830_at	2.85e-01	7.34e-02	-1.8111903	-4.98932	-0.33175314	C17orf75	chromosome 17 open reading frame 75
208448_x_at	2.86e-01	7.35e-02	1.8103398	-4.99079	0.21172773	IFNA16	interferon alpha 16
204291_at	2.86e-01	7.35e-02	-1.8103313	-4.9908	-0.30453664	ZNF518A	zinc finger protein 518A
207097_s_at	2.86e-01	7.35e-02	1.8100841	-4.99123	0.29792204	SLC17A2	solute carrier family 17 member 2
222208_s_at	2.86e-01	7.36e-02	1.8098615	-4.99162	0.40385507	POLR2J4	RNA polymerase II subunit J4, pseudogene
212969_x_at	2.87e-01	7.37e-02	1.8089863	-4.99314	0.29268447	EML3	echinoderm microtubule associated protein like 3
206292_s_at	2.87e-01	7.37e-02	1.8088455	-4.99338	0.28051233	SULT2A1	sulfotransferase family 2A member 1
203067_at	2.87e-01	7.37e-02	1.8087669	-4.99352	0.28389261	PDHX	pyruvate dehydrogenase complex component X
222373_at	2.87e-01	7.38e-02	-1.8084549	-4.99406	-0.2797983		
211353_at	2.87e-01	7.38e-02	1.808158	-4.99457	0.19102845	LRIT1	leucine rich repeat, Ig-like and transmembrane domains 1
203661_s_at	2.87e-01	7.38e-02	1.8080839	-4.9947	0.21372678	TMOD1	tropomodulin 1
219947_at	2.87e-01	7.38e-02	-1.8080184	-4.99481	-0.2846965	CLEC4A	C-type lectin domain family 4 member A
212958_x_at	2.87e-01	7.39e-02	1.8077981	-4.99519	0.22911138	PAM	peptidylglycine alpha-amidating monooxygenase
218930_s_at	2.87e-01	7.39e-02	-1.8073773	-4.99592	-0.30129959	TMEM106B	transmembrane protein 106B
219885_at	2.87e-01	7.40e-02	1.8073469	-4.99597	0.30454019	SLFN12	schlafen family member 12
202442_at	2.87e-01	7.40e-02	1.8071213	-4.99636	0.20455958	AP3S1	adaptor related protein complex 3 sigma 1 subunit
219428_s_at	2.87e-01	7.40e-02	1.8069716	-4.99662	0.20887851	PXMP4	peroxisomal membrane protein 4
212889_x_at	2.87e-01	7.40e-02	1.8068558	-4.99682	0.47232534	GADD45GIP1	GADD45G interacting protein 1
220271_x_at	2.87e-01	7.40e-02	1.8068455	-4.99684	0.24751152	EFCAB6	EF-hand calcium binding domain 6
209831_x_at	2.87e-01	7.41e-02	-1.8065368	-4.99738	-0.32649244	DNASE2	deoxyribonuclease 2, lysosomal
207582_at	2.87e-01	7.41e-02	-1.8064977	-4.99744	-0.43865717	PIN1P1	peptidylprolyl cis/trans isomerase, NIMA-interacting 1 pseudogene 1
203275_at	2.87e-01	7.41e-02	1.8064756	-4.99748	0.40386807	IRF2	interferon regulatory factor 2
213123_at	2.87e-01	7.41e-02	-1.8064242	-4.99757	-0.40150513	MFAP3	microfibrillar associated protein 3
201514_s_at	2.87e-01	7.41e-02	1.8063792	-4.99765	0.19046246	G3BP1	G3BP stress granule assembly factor 1
208841_s_at	2.87e-01	7.41e-02	-1.806351	-4.9977	-0.24978641	G3BP2	G3BP stress granule assembly factor 2
215876_at	2.87e-01	7.41e-02	1.8063387	-4.99772	0.19854352		
205593_s_at	2.87e-01	7.41e-02	1.8063105	-4.99777	0.19345508	PDE9A	phosphodiesterase 9A
209835_x_at	2.87e-01	7.41e-02	1.8062475	-4.99788	0.22001188	CD44	CD44 molecule (Indian blood group)
209589_s_at	2.87e-01	7.41e-02	-1.8062336	-4.9979	-0.39637351	EPHB2	EPH receptor B2
201368_at	2.87e-01	7.42e-02	1.806004	-4.9983	0.29066897	ZFP36L2	ZFP36 ring finger protein like 2
207920_x_at	2.87e-01	7.42e-02	-1.8059782	-4.99834	-0.27722575	ZFX	zinc finger protein, X-linked
219032_x_at	2.87e-01	7.42e-02	-1.8058539	-4.99856	-0.29489653	OPN3	opsin 3
65770_at	2.87e-01	7.42e-02	1.8057839	-4.99868	0.28383237	RHOT2	ras homolog family member T2
222085_at	2.88e-01	7.44e-02	1.8048154	-5.00035	0.25471016	FAM174B	family with sequence similarity 174 member B
207446_at	2.88e-01	7.44e-02	1.8043357	-5.00118	0.22995246	TLR6	toll like receptor 6
